iter	Logloss
0	0.2973653016
1	0.2321497778
2	0.1910592139
3	0.177624437
4	0.1726658265
5	0.1679608399
6	0.1658571811
7	0.1645926168
8	0.1630565844
9	0.1621656417
10	0.1607292641
11	0.1603312175
12	0.1595175002
13	0.1589680235
14	0.1584548229
15	0.1581392599
16	0.1579860822
17	0.157603757
18	0.1571147143
19	0.1558192707
20	0.1552273496
21	0.1547990608
22	0.1543086721
23	0.1538136402
24	0.1533541864
25	0.1528534618
26	0.1524211341
27	0.1521407381
28	0.1515235861
29	0.1509684595
30	0.1503955366
31	0.1499960976
32	0.1498253243
33	0.1496954483
34	0.1494473177
35	0.1490126485
36	0.148462629
37	0.1474194218
38	0.1471463962
39	0.1468070891
40	0.1460069708
41	0.1455475425
42	0.1451854202
43	0.1445878593
44	0.1442661028
45	0.1438663898
46	0.1433584335
47	0.1431253763
48	0.1427299571
49	0.1424884314
50	0.1421428278
51	0.1414030194
52	0.1412885252
53	0.1409565454
54	0.140640387
55	0.1401882944
56	0.1398016504
57	0.1395958376
58	0.1391701575
59	0.1386627912
60	0.1383155429
61	0.1379045069
