iter	Passed	Remaining
0	68	13612
1	99	9846
2	183	12025
3	245	12014
4	298	11629
5	363	11753
6	418	11538
7	484	11626
8	541	11500
9	613	11663
10	704	12098
11	797	12493
12	897	12903
13	977	12980
14	1057	13038
15	1131	13015
16	1213	13059
17	1282	12965
18	1352	12883
19	1420	12783
20	1508	12859
21	1604	12978
22	1652	12717
23	1717	12592
24	1793	12551
25	1867	12499
26	1941	12442
27	2033	12491
28	2122	12512
29	2191	12421
30	2267	12363
31	2340	12286
32	2392	12109
33	2455	11986
34	2520	11881
35	2584	11774
36	2639	11630
37	2701	11518
38	2769	11433
39	2830	11322
40	2891	11212
41	2944	11077
42	3014	11005
43	3104	11008
44	3189	10986
45	3261	10919
46	3364	10951
47	3448	10921
48	3518	10841
49	3594	10783
50	3679	10748
51	3766	10718
52	3843	10658
53	3923	10608
54	3993	10528
55	4070	10468
56	4150	10413
57	4215	10320
58	4271	10209
59	4338	10122
60	4408	10045
61	4476	9964
